18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:124 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:125 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:134 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:155 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
