18:21:10:077 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:240 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:249 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:252 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
18:21:10:281 -> A3=13.93, PA2=0.03, PA1=0.01, PA0=0.05
